Topic 1 coronavirus spread: What were people saying about the spread of the novel coronavirus NCOV-19 in Wuhan at the end of 2019?
0: It started.  Hey, welcome back. So I want to to make today's episode about this continuing spread of the Wuhan coronavirus. I think the official name for it is the 2019 novel coronavirus, but many people are referring to it as just the coronavirus the the Wuhan coronavirus Wuhan flew I've seen that go around but and I think a good place to start is just a quick recap. Where were at now of course is subject to change.
8:  So they were cutting class to go and stand in front of city hall or the capital and they're still doing it and that's what Greta started a year ago. And now she's up for a Nobel Peace Prize on mainstream news. It's hard to find Greta. Yeah, that's true more news. She's getting more news coverage than any environmental list on the planet, but it's hard to find her in mainstream news. Is that because it's it's seen as  I read an article I think was in the Atlantic about there was that climate report that came out and was maybe like six months to a year ago. That was just so sobering and it was this kind of art. It was the article was actually about that. It's so sobering that it's almost paralyzing and I think that yeah, I think that with the New Media thing the media wants to give you headlines that make you click right and it's going
9:  Way Beyond their scholarship and the cost of attendance but it's a tough tough issue and if sponsors won't pay big commercial dollars for women's soccer game on TV those women aren't likely to get paid a lot of money for playing soccer before your second trip you met what now is your husband and you got engaged to him in the middle of the Atlantic Ocean while he was back home. Did they engagement inspire you to get home quicker? Yes.  Yes, I asked him if you would marry me he had this romantic response. He said sure why not and from that point on I pretty much wrote around the clock till I get home December 3rd 1999. You completed your journey across the Atlantic at what point? Did you realize this trip was going to be a success? Yeah, probably December first when I saw Guadalupe for the first time in the middle of the ocean because at any point before that, you can always make a mistake that ends it or ends you
 
Topic 3 black hole image: In May 2019 astronomers released the first-ever picture of a black hole.  I would like to hear some conversations and educational discussion about the science of astronomy, black holes, and of the picture itself.
0:  Concept of like time and how it's not like time is relative which sounds really weird for us because we're always used to time being the exact same but it's like they go to this planet. It's getting sucked into a black hole in our on that planet is 70 years on Earth and what happens is part of their ship breaks as there's a big wave and it takes a couple hours to get out next thing, you know, they're like 20 years behind 30 years behind and he gets out and his daughters older than him and that is actually scientifically compatible that  and Einstein proved that theory and it's because when you're closer to a black hole like the planet is so much heavier in density where so whereas the black hole and I think the fact like there are some but they're so far away because like if you think about it, so how did you test that? How did he figure out that if you're closer to a black hole time? Buckle up boys.
1:  like T said if what happens if you fall into a black hole how many of us are going to fall into a black hole will never know what happens because if somebody does fall in a black hole they will die and you won't know the answer.  home, I guess I thought then Interstellar Dome into
2:  - what if we're in a black hole? I hate I hate the what ifs of space what a weird black hole. I don't care. What does it matter? Okay, cool. You can go on and on about what if  You fall into a black hole. But how do you even know how that even come along? Do you where does it go? Okay.
3:  and Einstein proved that theory and it's because when you're closer to a black hole like the planet is so much heavier in density where so whereas the black hole and I think the fact like there are some but they're so far away because like if you think about it, so how did you test that? How did he figure out that if you're closer to a black hole time? Buckle up boys.  Here's how they proved that looks like scientists have actually proved that it's realistic fiction. Jake crazy, like accurate nuclear their time clocks meaning. It's just like a stopwatch but down to like a trillionth of a second and like they put one on the floor and they put one like on a hundred foot platform. And the closer you are to Earth. Obviously the gravity's heavier because like when she get higher gravity gets lighter,
4:  Wow, which brings up a crazy point that I thought about so you always hear about how the universe is like infinitely expanding. Yeah, you always hear that like you've written for me like like all the time Interstellar. It's the best space movie. It's not even just this best space movie. It's the best movie ever.  - what if we're in a black hole? I hate I hate the what ifs of space what a weird black hole. I don't care. What does it matter? Okay, cool. You can go on and on about what if
5:  I'm incontinent. Oh, you're so smart.  That's fucking crazy. Yes a black hole as it's a black hole. Okay, I've seen a lot. I like watch a couple of documentaries on like, what about what a black hole is? Yeah, and I like that's so crazy. Like the the densest gravitation like gravitational pull. Did you know that they had to use like I might get the wrong wrong but like it's like 5 million gigabytes. Yeah beta and two bites and so bites to be able to capture it and it's still so blurry like yeah to capture.
6:  Zero impact to what we do each day. Like it doesn't matter weird. I think it's it is without question is horrible philosophically. Bullet philosophical Phyllis are yeah, I don't me wrong. It's an interesting Trend thought but the fact that it will never matter to us. Yes is the answer and if I just move my everyday routine people are getting I'm just saying like if  like T said if what happens if you fall into a black hole how many of us are going to fall into a black hole will never know what happens because if somebody does fall in a black hole they will die and you won't know the answer.
7:  That's fucking crazy. Yes a black hole as it's a black hole. Okay, I've seen a lot. I like watch a couple of documentaries on like, what about what a black hole is? Yeah, and I like that's so crazy. Like the the densest gravitation like gravitational pull. Did you know that they had to use like I might get the wrong wrong but like it's like 5 million gigabytes. Yeah beta and two bites and so bites to be able to capture it and it's still so blurry like yeah to capture.  One image. Yeah, that's fucking crazy fucking crazy dude, dude. It's like and I mean women empowerment our because like the girl another girl scientists like it's a female scientist. Yeah. That's awesome. Yeah, dude it like power to her a man. Fuck we made a ride again.
8: What's up, my self-improvement people? It is Brian Ford with self-improvement daily. Take ownership of your personal development one tip at a time. I wanted to go back and highlight my favorite part of our last self-improvement sit down with Eric Kaufman brilliantly are accused the properties of celestial bodies to segment people into their leadership types in doing so we gained Clarity on the qualities of a conscious leader. Let's hear are Breakdown now, there's three types of celestial elements that I refer to it. Is that the moon the sun and a black hole the most ago like type of leader is a black hole, right? They suck all the energy into them the human being that has the need to just make it all about me and you've met people like that, right? They take the credit and the team they have the best ideas. They have the biggest office. It's all about me me me me me and a black hole is kind of a
9:  we're like, you've got these space pirates that Jared is I think it's really good. It was really cool and even go back to like that point in the story where they're about to ride that Michaela like out of the black hole. You see like a death in the in the film through mr. Arrow. Yeah, like you'd see this tension between mr. And mr. Screw-up who is the spider like looking character in the film early on in the film because they come to sort of like a disagreement of sorts.  And you can see in scripts eyes that like, okay, I'm gonna get you back at some point. Don't worry and mr. Scroop used that point of the whole like the chaotic nature of the Supernova to then be like, oh, this is perfect. This is my perfect moment. Just like exact my revenge. This is during the scene right here with the black hole, right? Yeah, I get sucked in. Yeah. It's a gyms gyms role was to and it kind of sets up for the next scene as well in like when they've after like survive the black hole as well. But Jim's role is to Captain me and says
 
Topic 4 story about riding a bird: I remember hearing a podcast that had a story about a kid riding some kind of bird.  I want to find it again.
0:  First one chickens ducks and turkeys are foul. So what do you think are they foul? The answer is true switch your rushing to the other side of the top of your mouth and brush those molars in the way back to when we say something is foul. We're usually talking about something gross or disgusting like after a smelly.  You might say that burp was foul. Yeah, but foul is also a word we use to talk about birds bowel are a kind of bird that we keep on farms to eat or get eggs from like chickens and ducks and turkeys another word for Birds. We keep for eggs or who is poultry.
1:  My head is perfectly fine. So yeah, pure Jerry and I was there at all the kids were riding around and like I had to walk off the middle of the tracks you go and sit down for a bit and everywhere else is going round and I was the only man bike dirt jumper there as well. So it was like even more perfect Jerry. I like it. Well for me, I've just been doing a bunch of snow riding.  Mmm, well we do this every show is you say well, okay, so I did put on like a rash guard / chain retention thing on the bottom my bottom bracket. I don't think I spaced it out correctly because on the trail I did like a drop-down feature and I backpedaled a little bit which is kind of a No-No if your chains already questionably off of alignment and it got all clogged.
2:  A few to finish the birds get a few down the land but didn't seen as a whole other story so little bit there to scratch the surface for guys to think about ya think the the over visibility on big water and if you're driving or riding your boat or whatever you call it. I don't know driving Captain. Anyways, you're going You're Going Through the water. And if you have any sort of chop, you're not going to see those Ducks until until you kick them up and anything going.  It's the same for the Ducks. I mean, he's divers are flying a foot two feet off the water. And yep. That's a really good point. Yep, you know as far as a lot of people ask me they say I can't believe you would throw a bright white 5 gallon bucket or 25 or 35 gallon barrel into your boat as a decoy. Well a lot of these birds
3:  You might say that burp was foul. Yeah, but foul is also a word we use to talk about birds bowel are a kind of bird that we keep on farms to eat or get eggs from like chickens and ducks and turkeys another word for Birds. We keep for eggs or who is poultry.  Switcher brushing to the bottom of your mouth and give your front teeth the brush to here's your next true or false pigs are extremely dirty animals. So is that true or false is every Pig a dirty Pig. The answer is false. Lots of people think that pigs are a messy animal but pigs are actually pretty tidy pigs got a reputation for being dirty because
4:  Lot of new Hunters those got the careful use the flag to get the birds attention. I had to take Flags away from a lot of my homes and layouts because they wanted to flag the Berks right on past the decoys. So there gets to be a point when he done put the flag down and start shooting at them too. But movement in being seen can really help out a hunter and you'd like I said, you don't necessarily have to have the most expensive decoys on the market.  A few to finish the birds get a few down the land but didn't seen as a whole other story so little bit there to scratch the surface for guys to think about ya think the the over visibility on big water and if you're driving or riding your boat or whatever you call it. I don't know driving Captain. Anyways, you're going You're Going Through the water. And if you have any sort of chop, you're not going to see those Ducks until until you kick them up and anything going.
5: Hello there. My name is Danny Yeoman while bird expert for pets corner and developer of Peter and Paul Byrd Foods. Welcome to the first of a number of podcast detailing some of the amazing birds that we see him feeding our garden each month. We'll be looking at different bird and I thought I'd start off with the nation's favourite bird the wonderful Robin on a misty winter morning. My garden is usually quiet apart that is for the song of one of their communist.  First and most familiar Birds the robin. It's a sound I am used to hearing for unlike virtually every other British bird Robbins held territories and sing more or less all year round.
6:  And you go this is for the visual people and your hand like washes out and then you're doing this and you're still holding onto the bike. That was me. So lost right now. No, I don't think I even had time no, no no front wheel was definitely watch. So as you can see the tape is back and I have sprained another AC joint and I have to take a week off and I've got like bruising all down my side. Luckily. I was wearing my full face helmet  My head is perfectly fine. So yeah, pure Jerry and I was there at all the kids were riding around and like I had to walk off the middle of the tracks you go and sit down for a bit and everywhere else is going round and I was the only man bike dirt jumper there as well. So it was like even more perfect Jerry. I like it. Well for me, I've just been doing a bunch of snow riding.
7:  Pot into the sink or knocking something over whatever it was. It made a clatter. I whipped my head around to look at her in the source of the noise, and it completely spooked her. She had never seen me react to any type of noise or sound before I obviously don't remember any of this as I was a toddler, but I heard the story many times.  My daughter was very hard of hearing due to glue ear when she was 4 she had grommets place to drain the fluid. She woke me up at sunrise the morning after the operation because she could hear the birds outside. It was a Bittersweet moment for me. As I was pleased to see the look of Joy on her face, but greatly saddened that I hadn't realized how bad her hearing had been for her whole life so far. She also come to realize she hates ambulances and Loud motorbikes.
8:  You know what? I'm not gonna tell you just kidding. I saw a bird. So obviously I got up this morning. I looked out my window. I saw a bird that is also not a story as anyone who has ever had a conversation with a four-year-old knows a sequence of actions by itself is not a story four-year-olds. They have the sequence of actions down pretty well, but they lack the next element that you need to make a good story a point a point.  Is element number 2 a good story gets to a point the point can come in many forms. It can be a moment of surprise or Revelation or learning. It can be funny. It can be serious. It can be moving. It just has to be the point to which all the actions are leading and the SlamBall story The Point the place where all the actions relating is this they were blown away and then Runway was like I want this I want this on my
9:  Feels weird to stop there doesn't it? And that is because when human beings listen to a couple of actions in a sequence, we want to know what the next one is. It's almost innate what happened after I looked out my window.  You know what? I'm not gonna tell you just kidding. I saw a bird. So obviously I got up this morning. I looked out my window. I saw a bird that is also not a story as anyone who has ever had a conversation with a four-year-old knows a sequence of actions by itself is not a story four-year-olds. They have the sequence of actions down pretty well, but they lack the next element that you need to make a good story a point a point.
 
Topic 5 daniel ek interview: Someone told me about a podcast interview with Daniel Ek, CEO of Spotify, about the founding and early days of Spotify.  I would like to find the show and episode that contains that interview.  Other interviews with Ek are relevant as well.
0:  Content I'm going to be pumping out right away in all honesty, but I might do like a reflection episode like when I get there, I don't know yet. I have to figure that out. But I have a few interviews planned out. I do want to try to do some phone interviews to but the interviews I have planned. I'm going to be with those people so that will be really exciting. It'll be nice to get some of my friends on here because  They've been really really supportive of me and I can't thank them enough and having them on the podcast would be so much more fun than just me sitting here talking to you guys, but that concludes today's episode. Don't forget to follow us on Instagram at over-caffeinated pod. And also we are on Apple music or apple podcasts now so you can check us out there if you don't have Spotify then you also don't have to
1: Hey guys, welcome to another episode of the real economy show and this is a very different kind of episode because today it's not interview kind of thing. But right now I'm with a person whom a lot of you know, and with digital fatigue and like this is a super interesting fact this podcast interview took me actually one year  Ear and three months like yeah like more than one year like that's how this person is to get a podcast interview with. So, so anyways right now we are doing this episode because it's my last day with digital pratik like because of some reasons. I will not be continuing with this brand or digital product. So we decided to just shoot this podcast episode and just talk and like I hope you guys
2:  Hello and welcome to start up. I'm Alex blumberg and we are at the third and final episode of startup ever. The last episode of the last season of the very first podcast gimlet ever launched. We're taking you inside the sale of gimlet to the streaming giant Spotify. Just a quick note here at the top. There is some swearing in this episode.  Last episode Matt and I had just come back from a whirlwind trip to Stockholm right before Thanksgiving to meet with Daniel Eck the CEO of spotify and although no one had officially told us this that trip had the feel of a final hurdle before Spotify made an official offer to buy us. And so you might be wondering what's it like to go to Thanksgiving with your entire family your aunts and uncles and cousins in the house where you grew up and your parents still live after just returning from a 22 hour round trip Excursion to Sweden where you may or may not
3:  I forgot I had told you I'm 16. Oh Arthur and love you finding a podcast. I really appreciate the hospitality. Cool. Thank you. All right. Thanks a lot. Right I'll take the key ate it and that's going to be it for the interview. I really appreciate you listening to the major jobs podcast. This one was a really great interview because it was something that was a unique job. It was a CEO but not really a CEO just like a founder of his own business and he was on Shark Tank. So it was really interesting.  To hear about what it was like starting a business and running it, and I'd really like to thank Max for doing this. I really appreciate his insight into what it's like being a founder of a business. And other than that, I really hope you enjoyed this. If you want you can subscribe to this podcast. I'm on Apple Spotify and all the major will podcasting networks. Anyways, thanks for listening, and I'll see you next week. Bye. Bye.
4:  Kind of out there questions. Not that it wasn't cat Platteville irrelevant, but his character relevant and I enjoyed that I enjoyed that they were thinking about that about who would be what character right? I'd love to do it again. So like that was that was really fun. Yeah. I agree. I think the end questions were a really nice way to mix it up from like basically any other interview because you don't really hear that like ever exactly that's gonna wonder why I wanted to do it, you know you  I want to be a little different words, like like going around hyperbole has wonderful question. They have really nice interviews and such like that and it professional but they're always definitely you know, I'm I don't want to take like a cookie cutter anything like that. Now that's kind of rude. But also, um, you know, they're that type of there are different category of interview where it's very professional it has a certain types of questions and it's not really like a I mean, it's up an interview, but it's not an interview for a fan by fans. Not the
5:  But what I wanted to do for this interview was talk to you Daniel because he's helped me a lot and he's given me a lot of advice and I kind of wanted to share that advice with all of you. So if you're a musician yourself, then this is a very very valuable conversation. He is an artist in his own right as I mentioned. He's got a band called local Liars. I will link all all the stuff in the show notes. So check those out but otherwise, let's just get on with the show.  Show here is my interview with Daniel G Harmon. Hi, my name is Mary spender and you are listening to choose Tuesday, Tuesday, Tuesday Tuesday. I think this is this is how we should start. We should talk about our failures immediately. It could be a weed err day worth of conversation for me. Oh me too. Me too. I'm so open and I love it. I think failing is exactly how you end up somewhere with
6:  To get the interview and it's at the same level as if you're having that interview then yeah the time you heard about it, but then it kind of just Peters out the closer you get to it because you can't maintain that intensity of feeling I guess for that long because I mean physically yeah would be horrible to continually feel like a certain way about it all the way up to when it happens. Yeah, so I it's interesting with me. I have a huge delay, which is so same same example. Yeah job interview. I could try.  I've got a job interview in on Thursday. So like a week. I'm like, I've got a week I am fine every day every day. I'm fine even like the Wednesday. No problem. I think yeah, whatever job interview who cares and obviously my track record with interviews all hideous. I mean I've mentioned before I've never got a job from an interview and in the jobs where I had an interview and got the job is because I knew the person that was interviewing me and it wasn't a real interview but interviews with genuine strangers that have never met before I have never
7:  You also have your own podcast, which I listen to all the time. Um, why don't you talk a little bit about that? So my podcast is called the real real and it's kind of like a play on words because the last real spelled r ee L like a highlight reel a reel of film. So what I thought when I was starting it was I want to start a podcast where I interview people and I didn't only want to interview super successful people. I didn't only want to  Interview like women I didn't only want to interview my friends. Like I wanted to interview a ton of people in different walks of life and I wanted it to be very very real sense the title but very much like not. Oh, how did you become super successful? I wanted it to be like, what are the real struggles of getting to where you are or you might not be where you want to be yet. But what are you doing to get there? Like I interview so many of my friends and different jobs that don't often get highlighted like my
8:  Out there as a brand owner and not be afraid to and you know, you'll hear what she says about that when I get further into this podcast and you guys will hear me say like oh my gosh, like I wish all of my mentees are listening to this because it's really important when she makes that point. So I am going to get into this podcast interview with Melissa Butler without giving the whole podcast away. So without further Ado, let's get into Melissa Butler the  And CEO of the lip bar.
9:  I sewed of over-caffeinated the first one of 2020. I'm so happy you guys have given me a positive feedback and continue listening. I'm gonna have a few episodes recorded before I go to Europe because I feel like right when I get to Europe. I don't know how much  Content I'm going to be pumping out right away in all honesty, but I might do like a reflection episode like when I get there, I don't know yet. I have to figure that out. But I have a few interviews planned out. I do want to try to do some phone interviews to but the interviews I have planned. I'm going to be with those people so that will be really exciting. It'll be nice to get some of my friends on here because
 
Topic 6 michelle obama becoming: Former First Lady Michelle Obama’s memoir Becoming was published in early 2019.  What were people saying about it?
0:  Like Goldman and Sachs and we'll just leave it. There we go. We'll just leave it there but show me you can we get into this mess? Aw. It's a bit controversial as hell. Michelle. Obama would not be famous if Obama.  Not become president disagree with you would be famous, but she would be successful. She would have a following the no definitely not but yeah, she's a lawyer she be successful, but she wouldn't have 50 million shape. She is what she is today because Obama became president. Yeah, Michelle Obama, you can say the same about most of the the only the only one I respect though is I don't respect from the windows wife. She skimmed off on him. No. No, but she helped build Amazon though. She took like she helped build Amazon.
1:  Carriage and I played another lead character and after the play which my parents and have my mother and everybody was there. She was like man Derek was so good. He was so good and didn't say nothing about my performance. I was like, okay, I guess I better stop this. But anyway, I went back to prison I went I started to pursue acting it was just something that I felt like in my on a soul level is something I really wanted to do for the rest of my life and I can become great.  At it if I work at the craft and studying and put my heart and soul into it when I first saw myself on a movie screen. I'm like man. I'm in a movie like I can't believe this like what is going on? So some of these places I've been able to to be like even on that Oscar stage and like going to see President Obama and First Lady Michelle Obama these been moments that you know, I didn't Envision, but eventually I started thinking man.
2:  At it if I work at the craft and studying and put my heart and soul into it when I first saw myself on a movie screen. I'm like man. I'm in a movie like I can't believe this like what is going on? So some of these places I've been able to to be like even on that Oscar stage and like going to see President Obama and First Lady Michelle Obama these been moments that you know, I didn't Envision, but eventually I started thinking man.  Is is everything is possible with God and with my belief and with the create tivity and if I pursue a passion but it's still I'm still catching like new moments. Like I just recently was on giving an honorary doctorate in my old school, Florida A&M University family. You gave the commencement speech I gave the commencement speech. Yeah, and they surprised me with the honorary doctorate but it was one of those moments where I was like man, I was overwhelmed like I straight what
3:  Hey y'all. Hey, welcome back to don't touch my nonsense today on our regularly programmed episode. We will be discussing the important life decisions of  Barack Obama Barack Obama and what he does with his wife in their own home? Not just white house anymore. Totally kidding. We're not going to be talking about Barack Obama or his wife Michelle Obama. We will be talking about gender roles and little of this a little of that. But before we get into that heavy-ass topic because Michelle is wrong just go ahead and start that out. Absolutely not. Yeah, she's wrong, but we'll get into how she's wrong and
4:  Beyonce or Michelle Obama because those were the two that you were very C very much about in the last episode of the podcast. So Madam Michelle is what we'll call her in this particular. Okay, Madam Michelle sure. She's a little taller than me. I'm at 5:10. She's like what six seven what how tall is she really? I don't think it's a good question. Damn Amazon. Wait, six seven woman.  She's just check it out. Look that up for me. Let's figure something it up. So while he's looking at all. Oh, she's the tall glass of chocolate. Milk. Michelle Obama using Siri is 5 feet 11 inches tall and you're 510. Yeah, I'm fine I bad so that's literally like eyeball to eyeball where we're there for a woman. That seems a little much where some Nikes relaxes you she puts on Heels. That's 6 feet. That's it. I'm having to find some cowboy boots. That's yeah. Well, like I said,
5:  Barack Obama Barack Obama and what he does with his wife in their own home? Not just white house anymore. Totally kidding. We're not going to be talking about Barack Obama or his wife Michelle Obama. We will be talking about gender roles and little of this a little of that. But before we get into that heavy-ass topic because Michelle is wrong just go ahead and start that out. Absolutely not. Yeah, she's wrong, but we'll get into how she's wrong and  And why she's wrong. But first we're going to go ahead and talk about something that we can both agree on and this is kitkat's Kit Kats and how to eat them. So Michelle, can you explain how you and I eat a Kit Kat? All right. So this is a very very complex procedure scalpel, you know, Mask full scrubs required gloves and everything you you absolutely need this. It's you have to like scrubbing and everything before you can even open the Kit Kat wrapper. It's a very intense process.
