Topic 1 coronavirus spread: What were people saying about the spread of the novel coronavirus NCOV-19 in Wuhan at the end of 2019?
0: It started.  Hey, welcome back. So I want to to make today's episode about this continuing spread of the Wuhan coronavirus. I think the official name for it is the 2019 novel coronavirus, but many people are referring to it as just the coronavirus the the Wuhan coronavirus Wuhan flew I've seen that go around but and I think a good place to start is just a quick recap. Where were at now of course is subject to change.
8:  Way Beyond their scholarship and the cost of attendance but it's a tough tough issue and if sponsors won't pay big commercial dollars for women's soccer game on TV those women aren't likely to get paid a lot of money for playing soccer before your second trip you met what now is your husband and you got engaged to him in the middle of the Atlantic Ocean while he was back home. Did they engagement inspire you to get home quicker? Yes.  Yes, I asked him if you would marry me he had this romantic response. He said sure why not and from that point on I pretty much wrote around the clock till I get home December 3rd 1999. You completed your journey across the Atlantic at what point? Did you realize this trip was going to be a success? Yeah, probably December first when I saw Guadalupe for the first time in the middle of the ocean because at any point before that, you can always make a mistake that ends it or ends you
9:  So they were cutting class to go and stand in front of city hall or the capital and they're still doing it and that's what Greta started a year ago. And now she's up for a Nobel Peace Prize on mainstream news. It's hard to find Greta. Yeah, that's true more news. She's getting more news coverage than any environmental list on the planet, but it's hard to find her in mainstream news. Is that because it's it's seen as  I read an article I think was in the Atlantic about there was that climate report that came out and was maybe like six months to a year ago. That was just so sobering and it was this kind of art. It was the article was actually about that. It's so sobering that it's almost paralyzing and I think that yeah, I think that with the New Media thing the media wants to give you headlines that make you click right and it's going
 
Topic 3 black hole image: In May 2019 astronomers released the first-ever picture of a black hole.  I would like to hear some conversations and educational discussion about the science of astronomy, black holes, and of the picture itself.
0:  Concept of like time and how it's not like time is relative which sounds really weird for us because we're always used to time being the exact same but it's like they go to this planet. It's getting sucked into a black hole in our on that planet is 70 years on Earth and what happens is part of their ship breaks as there's a big wave and it takes a couple hours to get out next thing, you know, they're like 20 years behind 30 years behind and he gets out and his daughters older than him and that is actually scientifically compatible that  and Einstein proved that theory and it's because when you're closer to a black hole like the planet is so much heavier in density where so whereas the black hole and I think the fact like there are some but they're so far away because like if you think about it, so how did you test that? How did he figure out that if you're closer to a black hole time? Buckle up boys.
1:  like T said if what happens if you fall into a black hole how many of us are going to fall into a black hole will never know what happens because if somebody does fall in a black hole they will die and you won't know the answer.  home, I guess I thought then Interstellar Dome into
2:  - what if we're in a black hole? I hate I hate the what ifs of space what a weird black hole. I don't care. What does it matter? Okay, cool. You can go on and on about what if  You fall into a black hole. But how do you even know how that even come along? Do you where does it go? Okay.
3:  and Einstein proved that theory and it's because when you're closer to a black hole like the planet is so much heavier in density where so whereas the black hole and I think the fact like there are some but they're so far away because like if you think about it, so how did you test that? How did he figure out that if you're closer to a black hole time? Buckle up boys.  Here's how they proved that looks like scientists have actually proved that it's realistic fiction. Jake crazy, like accurate nuclear their time clocks meaning. It's just like a stopwatch but down to like a trillionth of a second and like they put one on the floor and they put one like on a hundred foot platform. And the closer you are to Earth. Obviously the gravity's heavier because like when she get higher gravity gets lighter,
4:  Wow, which brings up a crazy point that I thought about so you always hear about how the universe is like infinitely expanding. Yeah, you always hear that like you've written for me like like all the time Interstellar. It's the best space movie. It's not even just this best space movie. It's the best movie ever.  - what if we're in a black hole? I hate I hate the what ifs of space what a weird black hole. I don't care. What does it matter? Okay, cool. You can go on and on about what if
5:  I'm incontinent. Oh, you're so smart.  That's fucking crazy. Yes a black hole as it's a black hole. Okay, I've seen a lot. I like watch a couple of documentaries on like, what about what a black hole is? Yeah, and I like that's so crazy. Like the the densest gravitation like gravitational pull. Did you know that they had to use like I might get the wrong wrong but like it's like 5 million gigabytes. Yeah beta and two bites and so bites to be able to capture it and it's still so blurry like yeah to capture.
6:  Zero impact to what we do each day. Like it doesn't matter weird. I think it's it is without question is horrible philosophically. Bullet philosophical Phyllis are yeah, I don't me wrong. It's an interesting Trend thought but the fact that it will never matter to us. Yes is the answer and if I just move my everyday routine people are getting I'm just saying like if  like T said if what happens if you fall into a black hole how many of us are going to fall into a black hole will never know what happens because if somebody does fall in a black hole they will die and you won't know the answer.
7:  In the black hole was like that's like don't the densest it gets right. Am I there's no coming back from that point. Once you're past that point like there's no honey that like absolutely you can't go and you just like you just fall into Old Floyd. Yeah. I get just an endless. Yeah, like like for a human like you would be there and I'm like because there's no light. Like there's like little like the light reflects all over the place. You would just see everything everywhere. Yeah.  Just non non stopping you just like like River Park. Yeah, do you just didn't disintegrate? This Socrates is creating. It's crazy that those things exist. Yeah, like we coexist with these what it's like out here. I have the black holes like nah.
8:  Just non non stopping you just like like River Park. Yeah, do you just didn't disintegrate? This Socrates is creating. It's crazy that those things exist. Yeah, like we coexist with these what it's like out here. I have the black holes like nah.  We really out here.
9: What's up, my self-improvement people? It is Brian Ford with self-improvement daily. Take ownership of your personal development one tip at a time. I wanted to go back and highlight my favorite part of our last self-improvement sit down with Eric Kaufman brilliantly are accused the properties of celestial bodies to segment people into their leadership types in doing so we gained Clarity on the qualities of a conscious leader. Let's hear are Breakdown now, there's three types of celestial elements that I refer to it. Is that the moon the sun and a black hole the most ago like type of leader is a black hole, right? They suck all the energy into them the human being that has the need to just make it all about me and you've met people like that, right? They take the credit and the team they have the best ideas. They have the biggest office. It's all about me me me me me and a black hole is kind of a
 
Topic 4 story about riding a bird: I remember hearing a podcast that had a story about a kid riding some kind of bird.  I want to find it again.
0:  A few to finish the birds get a few down the land but didn't seen as a whole other story so little bit there to scratch the surface for guys to think about ya think the the over visibility on big water and if you're driving or riding your boat or whatever you call it. I don't know driving Captain. Anyways, you're going You're Going Through the water. And if you have any sort of chop, you're not going to see those Ducks until until you kick them up and anything going.  It's the same for the Ducks. I mean, he's divers are flying a foot two feet off the water. And yep. That's a really good point. Yep, you know as far as a lot of people ask me they say I can't believe you would throw a bright white 5 gallon bucket or 25 or 35 gallon barrel into your boat as a decoy. Well a lot of these birds
1:  Pot into the sink or knocking something over whatever it was. It made a clatter. I whipped my head around to look at her in the source of the noise, and it completely spooked her. She had never seen me react to any type of noise or sound before I obviously don't remember any of this as I was a toddler, but I heard the story many times.  My daughter was very hard of hearing due to glue ear when she was 4 she had grommets place to drain the fluid. She woke me up at sunrise the morning after the operation because she could hear the birds outside. It was a Bittersweet moment for me. As I was pleased to see the look of Joy on her face, but greatly saddened that I hadn't realized how bad her hearing had been for her whole life so far. She also come to realize she hates ambulances and Loud motorbikes.
2:  Lot of new Hunters those got the careful use the flag to get the birds attention. I had to take Flags away from a lot of my homes and layouts because they wanted to flag the Berks right on past the decoys. So there gets to be a point when he done put the flag down and start shooting at them too. But movement in being seen can really help out a hunter and you'd like I said, you don't necessarily have to have the most expensive decoys on the market.  A few to finish the birds get a few down the land but didn't seen as a whole other story so little bit there to scratch the surface for guys to think about ya think the the over visibility on big water and if you're driving or riding your boat or whatever you call it. I don't know driving Captain. Anyways, you're going You're Going Through the water. And if you have any sort of chop, you're not going to see those Ducks until until you kick them up and anything going.
3: Hello there. My name is Danny Yeoman while bird expert for pets corner and developer of Peter and Paul Byrd Foods. Welcome to the first of a number of podcast detailing some of the amazing birds that we see him feeding our garden each month. We'll be looking at different bird and I thought I'd start off with the nation's favourite bird the wonderful Robin on a misty winter morning. My garden is usually quiet apart that is for the song of one of their communist.  First and most familiar Birds the robin. It's a sound I am used to hearing for unlike virtually every other British bird Robbins held territories and sing more or less all year round.
4:  My head is perfectly fine. So yeah, pure Jerry and I was there at all the kids were riding around and like I had to walk off the middle of the tracks you go and sit down for a bit and everywhere else is going round and I was the only man bike dirt jumper there as well. So it was like even more perfect Jerry. I like it. Well for me, I've just been doing a bunch of snow riding.  Mmm, well we do this every show is you say well, okay, so I did put on like a rash guard / chain retention thing on the bottom my bottom bracket. I don't think I spaced it out correctly because on the trail I did like a drop-down feature and I backpedaled a little bit which is kind of a No-No if your chains already questionably off of alignment and it got all clogged.
5:  And you go this is for the visual people and your hand like washes out and then you're doing this and you're still holding onto the bike. That was me. So lost right now. No, I don't think I even had time no, no no front wheel was definitely watch. So as you can see the tape is back and I have sprained another AC joint and I have to take a week off and I've got like bruising all down my side. Luckily. I was wearing my full face helmet  My head is perfectly fine. So yeah, pure Jerry and I was there at all the kids were riding around and like I had to walk off the middle of the tracks you go and sit down for a bit and everywhere else is going round and I was the only man bike dirt jumper there as well. So it was like even more perfect Jerry. I like it. Well for me, I've just been doing a bunch of snow riding.
6:  but the way that makes me feel better, I guess in a sense is that  That's their I don't want to say that's their problem. But I mean it is kind of like their gross in that they're doing that. They're being that disgusting. Yeah, but they're going to do that whether we're at the beach weather even even there's people that want to do that the mall they're going to be watching your Ki they are I mean you sure papers out there all over the place. That's what I was going to say their stories all the time about. Oh this pedophile. Yeah in the bathrooms or like you said at the pool, you know, that's been a big one. I mean I've even heard stories of kids in
7:  Loud and be heard and some kids have something really intense that to get that out and to have a population really respect. What they have to say is Meaningful on a on a deeper level. So, you know, we have had a girl talk about her brother's struggle with cancer and we've had kids talk about race. So we've really run the gamut between really serious topics and lighter and sometimes these kids literally.  A just like improv it out and maybe just create a list of things that help him remember and some kids sit down and write the whole story and some kids speak to type. So we take them. So if they have struggles with writing we don't want it to feel like school because school you get a grade you don't get a grade with this and that's what I was curious if there's any type of feedback and it sounds like it's just like whatever you want to say.
8:  My daughter was very hard of hearing due to glue ear when she was 4 she had grommets place to drain the fluid. She woke me up at sunrise the morning after the operation because she could hear the birds outside. It was a Bittersweet moment for me. As I was pleased to see the look of Joy on her face, but greatly saddened that I hadn't realized how bad her hearing had been for her whole life so far. She also come to realize she hates ambulances and Loud motorbikes.  Oh, I have a great story friend's sister was very hard of hearing nearly deaf. She got Cochlear implants at work. I was asked to help her pair her implants with her new phone because they're freaking Bluetooth while I'm doing this. She is happily telling me how sensitive they are. I can hear paper. She had no idea paper sliding on paper made a noise. She then told me she could hear her hand sliding on the wall, and how cats annoyed her.
9:  First and most familiar Birds the robin. It's a sound I am used to hearing for unlike virtually every other British bird Robbins held territories and sing more or less all year round.  That's not the only surprising thing about the robin common and familiar this little bird. Maybe it still has the capacity to surprise us. They are proof then one birds for you at least Britain's gardeners are pigs centuries ago. When wild boar freely roam the nation's Countryside. It's frequent companion was the little Robin
 
Topic 5 daniel ek interview: Someone told me about a podcast interview with Daniel Ek, CEO of Spotify, about the founding and early days of Spotify.  I would like to find the show and episode that contains that interview.  Other interviews with Ek are relevant as well.
0:  Hello and welcome to start up. I'm Alex blumberg and we are at the third and final episode of startup ever. The last episode of the last season of the very first podcast gimlet ever launched. We're taking you inside the sale of gimlet to the streaming giant Spotify. Just a quick note here at the top. There is some swearing in this episode.  Last episode Matt and I had just come back from a whirlwind trip to Stockholm right before Thanksgiving to meet with Daniel Eck the CEO of spotify and although no one had officially told us this that trip had the feel of a final hurdle before Spotify made an official offer to buy us. And so you might be wondering what's it like to go to Thanksgiving with your entire family your aunts and uncles and cousins in the house where you grew up and your parents still live after just returning from a 22 hour round trip Excursion to Sweden where you may or may not
1:  Easy, I would laughingly go into any case interview and I know I could rock roll in there.  But it's not because I know so many Frameworks or I know so much about business or I know so much about any industry. It's because I've understood what's happening. They're actually the case interview. It's great. It's fun. Okay get into the mindset that this is going to be a fun conversation. I coached one guy. He got an offer from McKinsey later on and he did the case interview and the interview afterwards said, you know what I have
2:  His Connection in Birmingham. There's this like this Melting Pot of cultures and like and and different countries and different people of different nationalities coming together. And so for him, that's how that was his connection to reggae music then I found out that there's going to be a biopic about him and he's like, wow, this is did you interview the interview. I told him I heard there's a biopic being written about you and oh he didn't know that know if you let me finish.  It's my sentence. I promise you won't tell you the story. So basically during the interview I found out that weed through my research that there was a biopic being written about him. So it's like hey, I heard there's a biopic about you and he's like, how do you know it's not been written yet. So they're commissioning it. Obviously they'll they'll contact you when they want to write that one could do something about your life and then I asked him like who would you cast as like who'd played the young Apache Indian and like was kind of fun?
3:  But it's not because I know so many Frameworks or I know so much about business or I know so much about any industry. It's because I've understood what's happening. They're actually the case interview. It's great. It's fun. Okay get into the mindset that this is going to be a fun conversation. I coached one guy. He got an offer from McKinsey later on and he did the case interview and the interview afterwards said, you know what I have  Laugh that much and that hard during an interview before and it was just a fun thing you do together. It's a dance and I'm telling you all these things about the dance and laughing to get your mindset straight check out first before we get into this whole topic check out what think about the case interview. Check out what your mind is telling you about this.
4:  I'm with Apache and image I mentioned before I was like, oh my 90's childhood coming alive. And when I interviewed him one of the things that was super fun was that I found out his connection to reggae and Jamaica, which was that he had a Jamaican Nanny as a kid and he grew up speaking Patois and so he understood it and understood the music which is where his connection like, why would that's Punjabi guy do reggae music? Okay, that was  His Connection in Birmingham. There's this like this Melting Pot of cultures and like and and different countries and different people of different nationalities coming together. And so for him, that's how that was his connection to reggae music then I found out that there's going to be a biopic about him and he's like, wow, this is did you interview the interview. I told him I heard there's a biopic being written about you and oh he didn't know that know if you let me finish.
5:  Listen to the podcast episodes on writing your CV and there's also videos in the group where we are path already done a couple of reviews watch those invest a few hours and learning. It is 30 million dollars waiting for you right there and you're not investing in our intuitive. That is stupid. Okay. So laughter my little sermon at the beginning let's get into  The case interview will spend the next episodes talking about the case interview the ins and outs and how to do this as usual. You know, 80% of success is psychology is mindset and that the same goes for the case interview most are scared of the case interview or it's it's got a this is reputation that it's higher than only the best can do it.
6:  Last episode Matt and I had just come back from a whirlwind trip to Stockholm right before Thanksgiving to meet with Daniel Eck the CEO of spotify and although no one had officially told us this that trip had the feel of a final hurdle before Spotify made an official offer to buy us. And so you might be wondering what's it like to go to Thanksgiving with your entire family your aunts and uncles and cousins in the house where you grew up and your parents still live after just returning from a 22 hour round trip Excursion to Sweden where you may or may not  Have passed what may or may not have been the most bizarre oral exam of your entire life is fine. Just kidding is really weird. My entire family was buzzing with questions. What was it? Like, what did he say? What did you say? What does this all mean? And it's hard to know what to think for one thing. There was the money many tens of millions of dollars money that would go to our investors our employees and of course to Matt and me personally now, here's a quick review of my work history after graduation. I went
7:  The case interview will spend the next episodes talking about the case interview the ins and outs and how to do this as usual. You know, 80% of success is psychology is mindset and that the same goes for the case interview most are scared of the case interview or it's it's got a this is reputation that it's higher than only the best can do it.  So let's first get into a mindset where you understand that the case interview is super easy. You have to see from my perspective today. I'll I I would love to do case interviews. This would be super easy, but it's not because I have all this experience or because I'm smart or anything but because I have so well understood what this whole thing is about that it became
8:  It's my birthday today.  It was that interesting. What's that video link is in the show notes or just look up my name Salman Michelle on YouTube. Let's get you back to the interview. And how is that your early days in broadcasting live? And what was your role apart from hosting video also do other stuff? Yeah. So I became the creative director of IBM. So the idea was that I was supposed to build their portfolio shows under various verticals.
9:  It really makes me super like admire people who can just sit with someone and don't have to have questions. Do you see the whole thing of the day with the jealous that like turnips the Vogue interview with Rihanna with like no questions. I thought that was it was I mean, it was like one of those things I think the day what bit taken out of context / like don't know she tries to be funny about it. But basically this journalist who is doing the interview with Rihanna for u.s. Vote. The whole opener of the interview is how like Rihanna had changed the timing and the date of the interview, so she  I was pulled to do it really swiftly had to like zoom over in her car wasn't prepared at all. So tied up change the time they're not the day. Yeah, I really should have ties are a total nerd is she like wasn't prepped was like, oh you have to help me. She like makes a big thing of it in the piece being right at wasn't perhaps and everyone was like, are you fucking kidding me? Like, why would you actually know if anyone can like change things around? It's Rihanna. Wow, I didn't see the backlash. Maybe I'm not on the journey. But yeah and then it became very like do you turn after an interview with questions or do you just like go with it? But well, I think
 
Topic 6 michelle obama becoming: Former First Lady Michelle Obama’s memoir Becoming was published in early 2019.  What were people saying about it?
0:  Like Goldman and Sachs and we'll just leave it. There we go. We'll just leave it there but show me you can we get into this mess? Aw. It's a bit controversial as hell. Michelle. Obama would not be famous if Obama.  Not become president disagree with you would be famous, but she would be successful. She would have a following the no definitely not but yeah, she's a lawyer she be successful, but she wouldn't have 50 million shape. She is what she is today because Obama became president. Yeah, Michelle Obama, you can say the same about most of the the only the only one I respect though is I don't respect from the windows wife. She skimmed off on him. No. No, but she helped build Amazon though. She took like she helped build Amazon.
1:  Beyonce or Michelle Obama because those were the two that you were very C very much about in the last episode of the podcast. So Madam Michelle is what we'll call her in this particular. Okay, Madam Michelle sure. She's a little taller than me. I'm at 5:10. She's like what six seven what how tall is she really? I don't think it's a good question. Damn Amazon. Wait, six seven woman.  She's just check it out. Look that up for me. Let's figure something it up. So while he's looking at all. Oh, she's the tall glass of chocolate. Milk. Michelle Obama using Siri is 5 feet 11 inches tall and you're 510. Yeah, I'm fine I bad so that's literally like eyeball to eyeball where we're there for a woman. That seems a little much where some Nikes relaxes you she puts on Heels. That's 6 feet. That's it. I'm having to find some cowboy boots. That's yeah. Well, like I said,
2:  Is Jim put out the word that they were good and they were not because of the photos and Jan is in the confessional like girl. Who are you? You're not Michelle Obama, you're not that important and I feel like gin definitely wanted support and showing that you know people were at her event. I don't necessarily feel like it had to be, you know, the ladies it could have been it could have been  In Celebrity, but I feel like because they were there it only makes sense to show the photos. So I don't know what was said along with the photos. I don't know if they just posted the photos if they posted a caption saying we having a great time together. I don't know what that was going on. But I mean it's only right for her to post the photos. It was her events. She wanted exposure. I don't think it was a PR stunt on her end. However, we don't know these ladies are sneaky their conniving some of them.
3:  Sat down and had the chance to interview Jamie liner. She's a good friend of mine and colleague from work and wanted to talk to her a little bit more about her story and one of the highlights, I won't steal her Thunder before we dive in but she did things a little bit different than I did and that's really one of the cool things and one of the reasons I wanted to talk to her. Not just because she has Michelle Obama arms, but I will say if you take a look she definitely has better arms that Michelle Obama not creepy. It's  True. Anyways, I really wanted to bring Jamie on to talk to her more about the ways in which she navigated her life when she came to Charlotte. It's definitely a unique story and completely different and new and it was really exciting to sit down and talk to her talk to her. So without further Ado. Let's hear a little bit more from Jamie.
4:  You said what I said, you know, I'm not really into light-skinned man, but I think he actually is attractive. So how Chris is cute. Yeah.  All right, good, you'll turn okay I'm going to do okay. This one should make you have to thank mmm. I bet said Michelle Obama Barack Obama or Michael girl. They don't know I'm thinking about shit because I'm going stir it up a little since I was like four years old. So Michael you can get all of this mash and I'm sorry Obama Obama. I'm sorry.
5:  Not become president disagree with you would be famous, but she would be successful. She would have a following the no definitely not but yeah, she's a lawyer she be successful, but she wouldn't have 50 million shape. She is what she is today because Obama became president. Yeah, Michelle Obama, you can say the same about most of the the only the only one I respect though is I don't respect from the windows wife. She skimmed off on him. No. No, but she helped build Amazon though. She took like she helped build Amazon.  60 billion, but she hoped she has cheated on her. I mean we did it.
6:  I am proud to be a woman girls and women are powerful Beauty badass feminine passion and policy power professional diligence advocates for change. Hey everybody, welcome back to the she is podcast. This is episode one and I'm really excited to have you all here listening today. I wanted to give you a brief introduction of our guests on the episode today. I saw  Sat down and had the chance to interview Jamie liner. She's a good friend of mine and colleague from work and wanted to talk to her a little bit more about her story and one of the highlights, I won't steal her Thunder before we dive in but she did things a little bit different than I did and that's really one of the cool things and one of the reasons I wanted to talk to her. Not just because she has Michelle Obama arms, but I will say if you take a look she definitely has better arms that Michelle Obama not creepy. It's
7:  All right, good, you'll turn okay I'm going to do okay. This one should make you have to thank mmm. I bet said Michelle Obama Barack Obama or Michael girl. They don't know I'm thinking about shit because I'm going stir it up a little since I was like four years old. So Michael you can get all of this mash and I'm sorry Obama Obama. I'm sorry.  I got a rifle in my room. All right Obama, you heard it. He probably do, you know, they'd be listening to the phones and even text you. Okay, so it's my turn celebrities and for my celebrity Truth Hurts Liz. Oh pretty woman.
