Topic 1 coronavirus spread: What were people saying about the spread of the novel coronavirus NCOV-19 in Wuhan at the end of 2019?
0: It started.  Hey, welcome back. So I want to to make today's episode about this continuing spread of the Wuhan coronavirus. I think the official name for it is the 2019 novel coronavirus, but many people are referring to it as just the coronavirus the the Wuhan coronavirus Wuhan flew I've seen that go around but and I think a good place to start is just a quick recap. Where were at now of course is subject to change.
2:  Lot of new Hunters those got the careful use the flag to get the birds attention. I had to take Flags away from a lot of my homes and layouts because they wanted to flag the Berks right on past the decoys. So there gets to be a point when he done put the flag down and start shooting at them too. But movement in being seen can really help out a hunter and you'd like I said, you don't necessarily have to have the most expensive decoys on the market.  A few to finish the birds get a few down the land but didn't seen as a whole other story so little bit there to scratch the surface for guys to think about ya think the the over visibility on big water and if you're driving or riding your boat or whatever you call it. I don't know driving Captain. Anyways, you're going You're Going Through the water. And if you have any sort of chop, you're not going to see those Ducks until until you kick them up and anything going.
3:  Pot into the sink or knocking something over whatever it was. It made a clatter. I whipped my head around to look at her in the source of the noise, and it completely spooked her. She had never seen me react to any type of noise or sound before I obviously don't remember any of this as I was a toddler, but I heard the story many times.  My daughter was very hard of hearing due to glue ear when she was 4 she had grommets place to drain the fluid. She woke me up at sunrise the morning after the operation because she could hear the birds outside. It was a Bittersweet moment for me. As I was pleased to see the look of Joy on her face, but greatly saddened that I hadn't realized how bad her hearing had been for her whole life so far. She also come to realize she hates ambulances and Loud motorbikes.
4: Welcome back to Story Time with Kayla Jane and her mother in the wild. Today. We're going to be reading a very fun book together called brown bear brown bear. What do you see by Bill Martin? Jr. Are you ready? Okay cozy.  Brown bear brown bear. What do you see? I see a red bird looking at me red bird red bird. What do you see? I see a yellow duck looking at me.
5:  First and most familiar Birds the robin. It's a sound I am used to hearing for unlike virtually every other British bird Robbins held territories and sing more or less all year round.  That's not the only surprising thing about the robin common and familiar this little bird. Maybe it still has the capacity to surprise us. They are proof then one birds for you at least Britain's gardeners are pigs centuries ago. When wild boar freely roam the nation's Countryside. It's frequent companion was the little Robin
6:  My aunt didn't know that rain was so loud.  I was so confused. The first time I heard the rain pattering on the roof or the sound of carpet when you move your foot. Oh and love to hearing Tui birds singing outside. My mom got hearing aids when she was in her 20s, and she said the first thing she heard when she left the hospital was birds singing she heard it on TV, but thought they made it louder for effect.
7:  First time you're unfamiliar wait for the podcast. We're not doing we're not doing wet Spider-Man weekly. We cannot do what Spider-Man it's not a it's not in the cards. It's not even like a little like just 30 seconds maybe nowhere spiders, but none of it. This is the Angry Birds podcast. They look I'm here to hear about the Angry Birds and have a drink piss which I gotta say. They definitely do drink piss. Yeah, that's that's a big agree from me as well. I'm so glad is and now that we've got out of the way maybe  Yeah, if you're new to the Pug asking you are unfamiliar with the concept of angry was drinking person Angry Birds movie all together. You can check this out on YouTube. It's really their type in Angry Birds piss in the movie The Angry Birds drink piss. I still get messages from people haven't done 50 episodes. They really don't drink pissed. Yeah, they fucking drink piss. Well, why would I what would I make 50 episodes of this of they didn't drink any purse I've been sewing to do that. Yeah that there's no ambiguity in the title of the podcast. It's called The Angry Birds do drink pee.
8:  If you're like, oh wow, this is the most depressing pain guys have made it this long and the episode. Yeah, if you've made it this long and then it's going to get a little bit. It's gonna be a little happier. So she's doing some other hand. I'm not sure what this is means Pappy fire going up in the air. I don't know. It's like a bird. It's your bird hand Pepe. It's like pepper a little bird. Oh, yeah. That's okay guys. Alright, let's end this. Okay go live the Epic life and Inspire someone with your story will see you guys in episode 6 next  Yeah, pull through by guys, please.
9:  My daughter was very hard of hearing due to glue ear when she was 4 she had grommets place to drain the fluid. She woke me up at sunrise the morning after the operation because she could hear the birds outside. It was a Bittersweet moment for me. As I was pleased to see the look of Joy on her face, but greatly saddened that I hadn't realized how bad her hearing had been for her whole life so far. She also come to realize she hates ambulances and Loud motorbikes.  Oh, I have a great story friend's sister was very hard of hearing nearly deaf. She got Cochlear implants at work. I was asked to help her pair her implants with her new phone because they're freaking Bluetooth while I'm doing this. She is happily telling me how sensitive they are. I can hear paper. She had no idea paper sliding on paper made a noise. She then told me she could hear her hand sliding on the wall, and how cats annoyed her.
 
Topic 5 daniel ek interview: Someone told me about a podcast interview with Daniel Ek, CEO of Spotify, about the founding and early days of Spotify.  I would like to find the show and episode that contains that interview.  Other interviews with Ek are relevant as well.
0:  I forgot I had told you I'm 16. Oh Arthur and love you finding a podcast. I really appreciate the hospitality. Cool. Thank you. All right. Thanks a lot. Right I'll take the key ate it and that's going to be it for the interview. I really appreciate you listening to the major jobs podcast. This one was a really great interview because it was something that was a unique job. It was a CEO but not really a CEO just like a founder of his own business and he was on Shark Tank. So it was really interesting.  To hear about what it was like starting a business and running it, and I'd really like to thank Max for doing this. I really appreciate his insight into what it's like being a founder of a business. And other than that, I really hope you enjoyed this. If you want you can subscribe to this podcast. I'm on Apple Spotify and all the major will podcasting networks. Anyways, thanks for listening, and I'll see you next week. Bye. Bye.
1:  Hello and welcome to start up. I'm Alex blumberg and we are at the third and final episode of startup ever. The last episode of the last season of the very first podcast gimlet ever launched. We're taking you inside the sale of gimlet to the streaming giant Spotify. Just a quick note here at the top. There is some swearing in this episode.  Last episode Matt and I had just come back from a whirlwind trip to Stockholm right before Thanksgiving to meet with Daniel Eck the CEO of spotify and although no one had officially told us this that trip had the feel of a final hurdle before Spotify made an official offer to buy us. And so you might be wondering what's it like to go to Thanksgiving with your entire family your aunts and uncles and cousins in the house where you grew up and your parents still live after just returning from a 22 hour round trip Excursion to Sweden where you may or may not
2:  trying to go with it. Does that make sense? Yeah, I see. Well, thank you for doing this. I really appreciate it. It really like took me into like the mind of an entrepreneur. And also if you wouldn't mind can you tell me your reaction your professors and your classmates reaction to you when you get back from winter break because I kind of want to hear hundred. I'll make sure you don't worry. I appreciate it. Yeah. All right, by the way, how proud.  I forgot I had told you I'm 16. Oh Arthur and love you finding a podcast. I really appreciate the hospitality. Cool. Thank you. All right. Thanks a lot. Right I'll take the key ate it and that's going to be it for the interview. I really appreciate you listening to the major jobs podcast. This one was a really great interview because it was something that was a unique job. It was a CEO but not really a CEO just like a founder of his own business and he was on Shark Tank. So it was really interesting.
3:  In two days. Yeah, you completely fine. But I think four days ago, you would like terrified. Yeah, so I just think like, how are you okay with it now and then you just go ahead and do it. Like there's nothing wrong in it, but you were really stressed and unstressed and like obviously I think for most people how it works is when you first find out you've got something like an interview the nerves and the anxiety build as you get closer to. Yeah, but you you kind of get like once, you know, you've got the interview you kind of get the nerves and anxiety the day You've Been Told  To get the interview and it's at the same level as if you're having that interview then yeah the time you heard about it, but then it kind of just Peters out the closer you get to it because you can't maintain that intensity of feeling I guess for that long because I mean physically yeah would be horrible to continually feel like a certain way about it all the way up to when it happens. Yeah, so I it's interesting with me. I have a huge delay, which is so same same example. Yeah job interview. I could try.
4:  Have consistently get an episode up whether it's both of us. One of us. I think that's very difficult to do and we managed to do it pretty much every week for an entire year. So that was a goal that I kind of set out we both kind of set out early on so we accomplished that and then the other part of it was to just kind of like try different things like our episodes. I totally get in 2019 at times are a little all over the place some people like that. Some of them are interviews. Some of them are getting really into the Weeds on like, you know, the ux design process and the thing is, is that there really  And over like the trend is overall Trends where that people like the interviews no surprise there but people did really like getting deep dives into specific topics. Like the recent episode on user flows had a ton of people listening and commenting on there is episodes on the overall overarching ux design process that episode perform really well. So we're so going to be experimenting with topics. I think the one thing that I hope that we can do is also expand design huddle not just as a ux or podcast or a product manager podcast or
5:  Say what I wanted to say and I'm like, well, I'm so sorry, but I'm very brutal in these situations like you've had an hour and you told me way too much about this thing. Yeah, I did. That's not that relevant to what you'll be doing with me. Yeah, and I have to say like it sucks when people watch an interview for sure. I feel bad for them. But also I need someone who's going to deliver exactly when they say they're going to leave out. You know what I mean? Like if I send someone  Into a pitch. I want them to pitch at that time. They're not going to have a second chance. Totally. Yeah, so would be interesting. I mean obviously hiring for different positions you're going to get different styles of people and different, you know, people not everyone's going to be really super strong and interviews so actually being a good interviewer. It's very important as well. Yeah, and I think a lot of a lot of the modern thinking around interviews is like ignore stuff that seems good and look for what you actually want. So when you're
6:  You also have your own podcast, which I listen to all the time. Um, why don't you talk a little bit about that? So my podcast is called the real real and it's kind of like a play on words because the last real spelled r ee L like a highlight reel a reel of film. So what I thought when I was starting it was I want to start a podcast where I interview people and I didn't only want to interview super successful people. I didn't only want to  Interview like women I didn't only want to interview my friends. Like I wanted to interview a ton of people in different walks of life and I wanted it to be very very real sense the title but very much like not. Oh, how did you become super successful? I wanted it to be like, what are the real struggles of getting to where you are or you might not be where you want to be yet. But what are you doing to get there? Like I interview so many of my friends and different jobs that don't often get highlighted like my
7:  To get the interview and it's at the same level as if you're having that interview then yeah the time you heard about it, but then it kind of just Peters out the closer you get to it because you can't maintain that intensity of feeling I guess for that long because I mean physically yeah would be horrible to continually feel like a certain way about it all the way up to when it happens. Yeah, so I it's interesting with me. I have a huge delay, which is so same same example. Yeah job interview. I could try.  I've got a job interview in on Thursday. So like a week. I'm like, I've got a week I am fine every day every day. I'm fine even like the Wednesday. No problem. I think yeah, whatever job interview who cares and obviously my track record with interviews all hideous. I mean I've mentioned before I've never got a job from an interview and in the jobs where I had an interview and got the job is because I knew the person that was interviewing me and it wasn't a real interview but interviews with genuine strangers that have never met before I have never
8:  the winners of the podcast that's cheese for the hundredth time per episode. I love all the cheersing cool. So we have a really exciting resource of the week. We've decided in you know to stay on topic. Yeah with what we discussed in this episode. We are going to give you our favorite interview resources. Yeah. So those will include like a lot of no really great interview questions how to conduct them how to format them. It's going to be fabulous. Yeah, just download and keep it.  You're conducting into an interview. But also if you're like going to a new yeah, yeah should be a conversation for sure. I mean, like I know that when I do job interviews, I'm asking questions from the get-go. Yeah. I'm like, so how does this work? I saw on your website that you do this what happens? They're like, what? Why do you do that? And they're like, oh, well, this is why you know what? I mean, like just chat girls just to chat. Yeah, absolutely. So that's going to be really cool. You'll find that in the show notes.
9:  Right out of high school as a software developer will get into that story as well. Also interesting story how he discovered iOS and how iOS came into his life with the iPhone launch and we talked about how that is a Monumental part of his life. And then also how is development led him from Spain to San Francisco. That's an interesting story moved on to Twitter and then finally on to Twitch we get into all that as well as some great interview tips, really. Hope you enjoy this episode. I had a blast having hobby on the show. Let's get into it.  This episode is sponsored by Spotify on Spotify. You can listen to all your favorite artists and podcasts in one place for free. You don't even need a premium account Spotify has a huge catalogue of podcasts on every topic including the one you're listening to right now on Spotify. You can follow your favorite podcast. So you never miss an episode premium users can download episodes to let's do offline wherever they are and you can easily share what you're listening to with your friends on Instagram if you haven't done so already be sure to download the Spotify app search for ios Dev discussions on Spotify or browse the
 
Topic 6 michelle obama becoming: Former First Lady Michelle Obama’s memoir Becoming was published in early 2019.  What were people saying about it?
0:  Like Goldman and Sachs and we'll just leave it. There we go. We'll just leave it there but show me you can we get into this mess? Aw. It's a bit controversial as hell. Michelle. Obama would not be famous if Obama.  Not become president disagree with you would be famous, but she would be successful. She would have a following the no definitely not but yeah, she's a lawyer she be successful, but she wouldn't have 50 million shape. She is what she is today because Obama became president. Yeah, Michelle Obama, you can say the same about most of the the only the only one I respect though is I don't respect from the windows wife. She skimmed off on him. No. No, but she helped build Amazon though. She took like she helped build Amazon.
1:  Hey y'all. Hey, welcome back to don't touch my nonsense today on our regularly programmed episode. We will be discussing the important life decisions of  Barack Obama Barack Obama and what he does with his wife in their own home? Not just white house anymore. Totally kidding. We're not going to be talking about Barack Obama or his wife Michelle Obama. We will be talking about gender roles and little of this a little of that. But before we get into that heavy-ass topic because Michelle is wrong just go ahead and start that out. Absolutely not. Yeah, she's wrong, but we'll get into how she's wrong and
2:  Barack Obama Barack Obama and what he does with his wife in their own home? Not just white house anymore. Totally kidding. We're not going to be talking about Barack Obama or his wife Michelle Obama. We will be talking about gender roles and little of this a little of that. But before we get into that heavy-ass topic because Michelle is wrong just go ahead and start that out. Absolutely not. Yeah, she's wrong, but we'll get into how she's wrong and  And why she's wrong. But first we're going to go ahead and talk about something that we can both agree on and this is kitkat's Kit Kats and how to eat them. So Michelle, can you explain how you and I eat a Kit Kat? All right. So this is a very very complex procedure scalpel, you know, Mask full scrubs required gloves and everything you you absolutely need this. It's you have to like scrubbing and everything before you can even open the Kit Kat wrapper. It's a very intense process.
3:  Beyonce or Michelle Obama because those were the two that you were very C very much about in the last episode of the podcast. So Madam Michelle is what we'll call her in this particular. Okay, Madam Michelle sure. She's a little taller than me. I'm at 5:10. She's like what six seven what how tall is she really? I don't think it's a good question. Damn Amazon. Wait, six seven woman.  She's just check it out. Look that up for me. Let's figure something it up. So while he's looking at all. Oh, she's the tall glass of chocolate. Milk. Michelle Obama using Siri is 5 feet 11 inches tall and you're 510. Yeah, I'm fine I bad so that's literally like eyeball to eyeball where we're there for a woman. That seems a little much where some Nikes relaxes you she puts on Heels. That's 6 feet. That's it. I'm having to find some cowboy boots. That's yeah. Well, like I said,
